"_id","packet_id","src","dest","subject","message","language","read","type","msg_chat_type","buddy_id","contact_relate","date","msg_status","msg_type","msg_extend","attach_status","msg_sending_progress","user_flag","attachment_read","data1","data2","data3","data4","data5","data6","data7","data8","data9","data10"
"1","dKMw1717041535860","88888000","6391234104178680","","Eh, kamu besok jadi ikut jalan-jalan ke puncak gak?","","0","1","0","","88888000","1717041535865","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"2","1u531717041638136","6510329879377920","6391234104178680","","Masih galau sih. Kayaknya cuacanya lagi gak menentu deh.","","0","1","0","","6510329879377920","1717041638846","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"3","DpB01717041801193","7015739958917120","6391234104178680","","Iya sih, tapi kemarin aku cek ramalan cuaca, katanya cerah sepanjang hari ","","1","1","0","","7015739958917120","1717041801195","2","1","","0","0","6391234104178680","0","","","","","","","","","",""
"4","nBF31717041817264","7015739958917120","6391234104178680","","Serius? Wah kalau gitu aku jadi mikir ulang nih. Kamu berangkat jam ","","0","1","0","","7015739958917120","1717041817260","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"5","oluC1717041817266","7015739958917120","6391234104178680","","Rencananya kumpul jam 6 pagi di rumah Tika. Biar gak kena macet.","","0","1","0","","7015739958917120","1717041817263","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"6","0-uwVX1717041817270","7015739958917120","6391234104178680","","Oke. Kalau gitu aku fix ikut deh. Tapi aku nebeng kamu ya?","","0","1","0","","7015739958917120","1717041817266","2","10000","","0","0","6391234104178680","0","","","","","","","","","",""
"7","4K171717041831231","7015739958917120","6391234104178680",""," Boleh banget, sekalian biar rame di mobil. Tapi jangan telat bangun ya ","","0","1","0","","7015739958917120","1717041832016","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"8","rfM51717119704188","7015739958917120","6391234104178680","","Aduh itu PR banget sih... Tapi bakal aku usahain! Kamu bawa makanan gak?","","0","1","0","","7015739958917120","1717119705216","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"9","aT651717119723106","6391234104178680","7015739958917120","","Iya, aku bawa roti sama buah. Kamu bawa minuman aja kali?","","1","2","0","","7015739958917120","1717119723107","2","1","","2","0","6391234104178680","0","","","","","","","0","","1",""
"10","8T0d1717119735305","7015739958917120","6391234104178680","","Sip, aku bawa air putih sama kopi dingin. Biar seger-seger.","","0","1","0","","7015739958917120","1717119736260","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"11","97m21717119738822","7015739958917120","6391234104178680","","Udah gak sabar deh. Butuh healing banget ","","0","1","0","","7015739958917120","1717119739702","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"12","lpds1717119765119","7015739958917120","6391234104178680","","Adem banget kak, bahan premium, cocok buat daily wear","","0","1","0","","7015739958917120","1717119765843","2","1","","0","0","6391234104178680","0","0","","","","","","","","",""
"13","H4E61717119806520","6391234104178680","7015739958917120","","Sama! Sampai besok yaa~","","1","2","0","","7015739958917120","1717119806520","2","1","","2","0","6391234104178680","0","","","","","","","0","","1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
